START_DATE*,START_DATE,START_TIME,END_DATE*,END_DATE,END_TIME,CATEGORY*,TIME Diff.,TIME Diff. (hours),START*,STOP*,MILES*,SPEED,PURPOSE*,,,,
01-12-2016 16:02,01-12-2016,04:02:00 PM,01-12-2016 17:00,01-12-2016,05:00:00 PM,Business,00:58:00,0.966666667,New York,Queens County,15.1,15.62068966,Meeting,,,,
13-01-2016,13-01-2016,01:54:00 PM,13-01-2016,13-01-2016,02:07:00 PM,Business,00:13:00,0.216666667,Downtown,Gulfton,11.2,51.69230769,Meeting,,,,
13-01-2016,13-01-2016,03:00:00 PM,13-01-2016,13-01-2016,03:28:00 PM,Business,00:28:00,0.466666667,Gulfton,Downtown,11.8,25.28571429,Meeting,,,,
14-01-2016,14-01-2016,04:29:00 PM,14-01-2016,14-01-2016,05:05:00 PM,Business,00:36:00,0.6,Houston,Houston,21.9,36.5,Customer Visit,,,,
14-01-2016,14-01-2016,09:39:00 PM,14-01-2016,14-01-2016,09:45:00 PM,Business,00:06:00,0.1,Eagan Park,Jamestown Court,3.9,39,Errand/Supplies,,,,
15-01-2016,15-01-2016,12:41:00 AM,15-01-2016,15-01-2016,01:01:00 AM,Business,00:20:00,0.333333333,Morrisville,Cary,8,24,Errand/Supplies,,,,
15-01-2016,15-01-2016,11:43:00 AM,15-01-2016,15-01-2016,12:03:00 PM,Business,00:20:00,0.333333333,Cary,Durham,10.4,31.2,Meal/Entertain,,,,
15-01-2016,15-01-2016,01:26:00 PM,15-01-2016,15-01-2016,01:44:00 PM,Business,00:18:00,0.3,Durham,Cary,10.4,34.66666667,Meal/Entertain,,,,
18-01-2016,18-01-2016,02:55:00 PM,18-01-2016,18-01-2016,03:06:00 PM,Business,00:11:00,0.183333333,Cary,Cary,4.8,26.18181818,Meal/Entertain,,,,
18-01-2016,18-01-2016,04:13:00 PM,18-01-2016,18-01-2016,04:24:00 PM,Business,00:11:00,0.183333333,Farmington Woods,Whitebridge,4.7,25.63636364,Meal/Entertain,,,,
19-01-2016,19-01-2016,09:09:00 AM,19-01-2016,19-01-2016,09:23:00 AM,Business,00:14:00,0.233333333,Whitebridge,Lake Wellingborough,7.2,30.85714286,,,,,
19-01-2016,19-01-2016,10:55:00 AM,19-01-2016,19-01-2016,11:09:00 AM,Business,00:14:00,0.233333333,Lake Wellingborough,Whitebridge,7.6,32.57142857,Temporary Site,,,,
20-01-2016,20-01-2016,10:36:00 AM,20-01-2016,20-01-2016,11:11:00 AM,Business,00:35:00,0.583333333,Cary,Raleigh,17.1,29.31428571,Meeting,,,,
20-01-2016,20-01-2016,11:48:00 AM,20-01-2016,20-01-2016,12:19:00 PM,Business,00:31:00,0.516666667,Fayetteville Street,Umstead,15.1,29.22580645,Meeting,,,,
20-01-2016,20-01-2016,01:25:00 PM,20-01-2016,20-01-2016,02:19:00 PM,Business,00:54:00,0.9,Raleigh,Cary,40.2,44.66666667,Customer Visit,,,,
21-01-2016,21-01-2016,02:25:00 PM,21-01-2016,21-01-2016,02:29:00 PM,Business,00:04:00,0.066666667,Cary,Cary,1.6,24,Errand/Supplies,,,,
21-01-2016,21-01-2016,02:43:00 PM,21-01-2016,21-01-2016,02:51:00 PM,Business,00:08:00,0.133333333,Cary,Cary,2.4,18,Meal/Entertain,,,,
21-01-2016,21-01-2016,04:01:00 PM,21-01-2016,21-01-2016,04:06:00 PM,Business,00:05:00,0.083333333,Cary,Cary,1,12,Meal/Entertain,,,,
26-01-2016,26-01-2016,10:41:00 AM,26-01-2016,26-01-2016,10:50:00 AM,Business,00:09:00,0.15,Whitebridge,Hazelwood,2,13.33333333,Meal/Entertain,,,,
26-01-2016,26-01-2016,12:33:00 PM,26-01-2016,26-01-2016,12:41:00 PM,Business,00:08:00,0.133333333,Hazelwood,Whitebridge,2.3,17.25,Errand/Supplies,,,,
26-01-2016,26-01-2016,04:24:00 PM,26-01-2016,26-01-2016,04:32:00 PM,Business,00:08:00,0.133333333,Whitebridge,Westpark Place,1.9,14.25,Errand/Supplies,,,,
26-01-2016,26-01-2016,05:17:00 PM,26-01-2016,26-01-2016,05:22:00 PM,Business,00:05:00,0.083333333,Cary,Cary,1.4,16.8,Errand/Supplies,,,,
26-01-2016,26-01-2016,05:27:00 PM,26-01-2016,26-01-2016,05:29:00 PM,Business,00:02:00,0.033333333,Cary,Cary,0.5,15,Errand/Supplies,,,,
27-01-2016,27-01-2016,09:24:00 AM,27-01-2016,27-01-2016,09:31:00 AM,Business,00:07:00,0.116666667,Cary,Cary,1.8,15.42857143,Meeting,,,,
27-01-2016,27-01-2016,10:19:00 AM,27-01-2016,27-01-2016,10:48:00 AM,Business,00:29:00,0.483333333,Cary,Raleigh,18.7,38.68965517,Customer Visit,,,,
27-01-2016,27-01-2016,12:34:00 PM,27-01-2016,27-01-2016,12:44:00 PM,Business,00:10:00,0.166666667,Fairmont,Meredith Townes,3.4,20.4,Customer Visit,,,,
27-01-2016,27-01-2016,02:05:00 PM,27-01-2016,27-01-2016,02:13:00 PM,Business,00:08:00,0.133333333,Raleigh,Raleigh,2.7,20.25,Customer Visit,,,,
27-01-2016,27-01-2016,02:46:00 PM,27-01-2016,27-01-2016,03:08:00 PM,Business,00:22:00,0.366666667,Raleigh,Cary,12.9,35.18181818,Customer Visit,,,,
28-01-2016,28-01-2016,12:28:00 PM,28-01-2016,28-01-2016,01:00:00 PM,Business,00:32:00,0.533333333,Cary,Raleigh,19,35.625,Temporary Site,,,,
28-01-2016,28-01-2016,03:11:00 PM,28-01-2016,28-01-2016,03:31:00 PM,Business,00:20:00,0.333333333,Meredith Townes,Leesville Hollow,14.7,44.1,Meeting,,,,
28-01-2016,28-01-2016,04:21:00 PM,28-01-2016,28-01-2016,04:51:00 PM,Business,00:30:00,0.5,Raleigh,Cary,15.7,31.4,Meeting,,,,
29-01-2016,29-01-2016,09:31:00 AM,29-01-2016,29-01-2016,09:45:00 AM,Business,00:14:00,0.233333333,Cary,Cary,4.6,19.71428571,Customer Visit,,,,
29-01-2016,29-01-2016,10:56:00 AM,29-01-2016,29-01-2016,11:07:00 AM,Business,00:11:00,0.183333333,Cary,Cary,5.2,28.36363636,Meeting,,,,
29-01-2016,29-01-2016,11:43:00 AM,29-01-2016,29-01-2016,12:03:00 PM,Business,00:20:00,0.333333333,Cary,Durham,10.4,31.2,Meeting,,,,
29-01-2016,29-01-2016,01:24:00 PM,29-01-2016,29-01-2016,01:47:00 PM,Business,00:23:00,0.383333333,Durham,Cary,10.1,26.34782609,Meeting,,,,
29-01-2016,29-01-2016,06:31:00 PM,29-01-2016,29-01-2016,06:52:00 PM,Business,00:21:00,0.35,Cary,Apex,5.8,16.57142857,Errand/Supplies,,,,
29-01-2016,29-01-2016,09:21:00 PM,29-01-2016,29-01-2016,09:40:00 PM,Business,00:19:00,0.316666667,Apex,Cary,5.5,17.36842105,Meal/Entertain,,,,
30-01-2016,30-01-2016,04:21:00 PM,30-01-2016,30-01-2016,04:33:00 PM,Business,00:12:00,0.2,Cary,Apex,5.7,28.5,Errand/Supplies,,,,
30-01-2016,30-01-2016,06:09:00 PM,30-01-2016,30-01-2016,06:24:00 PM,Business,00:15:00,0.25,Apex,Cary,5.7,22.8,Customer Visit,,,,
02-01-2016 10:35,02-01-2016,10:35:00 AM,02-01-2016 11:15,02-01-2016,11:15:00 AM,Business,00:40:00,0.666666667,Cary,Chapel Hill,19.4,29.1,Customer Visit,,,,
02-01-2016 12:10,02-01-2016,12:10:00 PM,02-01-2016 12:43,02-01-2016,12:43:00 PM,Business,00:33:00,0.55,Chapel Hill,Cary,23.3,42.36363636,Customer Visit,,,,
02-01-2016 12:56,02-01-2016,12:56:00 PM,02-01-2016 13:07,02-01-2016,01:07:00 PM,Business,00:11:00,0.183333333,Northwoods,Whitebridge,3.9,21.27272727,Meal/Entertain,,,,
02-02-2016 13:04,02-02-2016,01:04:00 PM,02-02-2016 13:23,02-02-2016,01:23:00 PM,Business,00:19:00,0.316666667,Whitebridge,Williamsburg Manor,8.3,26.21052632,Meeting,,,,
02-02-2016 13:51,02-02-2016,01:51:00 PM,02-02-2016 14:06,02-02-2016,02:06:00 PM,Business,00:15:00,0.25,Cary,Cary,6,24,Errand/Supplies,,,,
02-02-2016 14:38,02-02-2016,02:38:00 PM,02-02-2016 14:42,02-02-2016,02:42:00 PM,Business,00:04:00,0.066666667,Cary,Cary,1.6,24,Errand/Supplies,,,,
02-04-2016 08:40,02-04-2016,08:40:00 AM,02-04-2016 09:01,02-04-2016,09:01:00 AM,Business,00:21:00,0.35,Cary,Morrisville,5.2,14.85714286,Errand/Supplies,,,,
02-04-2016 09:37,02-04-2016,09:37:00 AM,02-04-2016 10:09,02-04-2016,10:09:00 AM,Business,00:32:00,0.533333333,Morrisville,Cary,9.7,18.1875,Meal/Entertain,,,,
02-04-2016 10:26,02-04-2016,10:26:00 AM,02-04-2016 10:32,02-04-2016,10:32:00 AM,Business,00:06:00,0.1,Cary,Cary,1.6,16,Meal/Entertain,,,,
02-04-2016 15:59,02-04-2016,03:59:00 PM,02-04-2016 16:03,02-04-2016,04:03:00 PM,Business,00:04:00,0.066666667,Cary,Cary,1.1,16.5,Meal/Entertain,,,,
02-04-2016 16:35,02-04-2016,04:35:00 PM,02-04-2016 16:39,02-04-2016,04:39:00 PM,Business,00:04:00,0.066666667,Cary,Cary,1.6,24,Meal/Entertain,,,,
02-04-2016 18:04,02-04-2016,06:04:00 PM,02-04-2016 18:31,02-04-2016,06:31:00 PM,Business,00:27:00,0.45,Whitebridge,Macgregor Downs,9,20,Meeting,,,,
02-04-2016 20:36,02-04-2016,08:36:00 PM,02-04-2016 20:55,02-04-2016,08:55:00 PM,Business,00:19:00,0.316666667,Cary,Cary,7.7,24.31578947,Meeting,,,,
02-05-2016 11:47,02-05-2016,11:47:00 AM,02-05-2016 12:07,02-05-2016,12:07:00 PM,Business,00:20:00,0.333333333,Cary,Durham,10.4,31.2,Meeting,,,,
02-05-2016 13:22,02-05-2016,01:22:00 PM,02-05-2016 13:41,02-05-2016,01:41:00 PM,Business,00:19:00,0.316666667,Durham,Cary,10.4,32.84210526,Meeting,,,,
02-06-2016 16:20,02-06-2016,04:20:00 PM,02-06-2016 16:53,02-06-2016,04:53:00 PM,Business,00:33:00,0.55,Cary,Raleigh,11.4,20.72727273,Between Offices,,,,
02-06-2016 18:57,02-06-2016,06:57:00 PM,02-06-2016 19:21,02-06-2016,07:21:00 PM,Business,00:24:00,0.4,Raleigh,Cary,9,22.5,Errand/Supplies,,,,
02-06-2016 19:28,02-06-2016,07:28:00 PM,02-06-2016 19:37,02-06-2016,07:37:00 PM,Business,00:09:00,0.15,Edgehill Farms,Whitebridge,3.2,21.33333333,Meal/Entertain,,,,
02-07-2016 16:49,02-07-2016,04:49:00 PM,02-07-2016 17:01,02-07-2016,05:01:00 PM,Business,00:12:00,0.2,Cary,Apex,5.6,28,Errand/Supplies,,,,
02-07-2016 18:03,02-07-2016,06:03:00 PM,02-07-2016 18:17,02-07-2016,06:17:00 PM,Business,00:14:00,0.233333333,Apex,Cary,5.7,24.42857143,Customer Visit,,,,
02-07-2016 18:39,02-07-2016,06:39:00 PM,02-07-2016 18:53,02-07-2016,06:53:00 PM,Business,00:14:00,0.233333333,Cary,Morrisville,6.1,26.14285714,Temporary Site,,,,
02-07-2016 20:22,02-07-2016,08:22:00 PM,02-07-2016 20:40,02-07-2016,08:40:00 PM,Business,00:18:00,0.3,Morrisville,Cary,6.1,20.33333333,Meeting,,,,
02-08-2016 12:57,02-08-2016,12:57:00 PM,02-08-2016 13:08,02-08-2016,01:08:00 PM,Business,00:11:00,0.183333333,Whitebridge,Edgehill Farms,4.3,23.45454545,Meal/Entertain,,,,
02-08-2016 14:00,02-08-2016,02:00:00 PM,02-08-2016 14:10,02-08-2016,02:10:00 PM,Business,00:10:00,0.166666667,Edgehill Farms,Whitebridge,2.7,16.2,Meal/Entertain,,,,
02-09-2016 10:54,02-09-2016,10:54:00 AM,02-09-2016 11:07,02-09-2016,11:07:00 AM,Personal,00:13:00,0.216666667,Whitebridge,Northwoods,5.3,24.46153846,,,,,
02-09-2016 11:43,02-09-2016,11:43:00 AM,02-09-2016 11:50,02-09-2016,11:50:00 AM,Personal,00:07:00,0.116666667,Northwoods,Tanglewood,3,25.71428571,,,,,
02-09-2016 13:36,02-09-2016,01:36:00 PM,02-09-2016 13:52,02-09-2016,01:52:00 PM,Personal,00:16:00,0.266666667,Tanglewood,Preston,5.1,19.125,,,,,
02-09-2016 13:58,02-09-2016,01:58:00 PM,02-09-2016 14:02,02-09-2016,02:02:00 PM,Personal,00:04:00,0.066666667,Preston,Whitebridge,1.5,22.5,,,,,
02-09-2016 18:55,02-09-2016,06:55:00 PM,02-09-2016 19:11,02-09-2016,07:11:00 PM,Business,00:16:00,0.266666667,Cary,Morrisville,6.1,22.875,,,,,
02-09-2016 20:24,02-09-2016,08:24:00 PM,02-09-2016 20:40,02-09-2016,08:40:00 PM,Business,00:16:00,0.266666667,Morrisville,Cary,6.1,22.875,Meal/Entertain,,,,
02-11-2016 16:28,02-11-2016,04:28:00 PM,02-11-2016 17:10,02-11-2016,05:10:00 PM,Business,00:42:00,0.7,Cary,Raleigh,17.3,24.71428571,Meal/Entertain,,,,
02-11-2016 17:49,02-11-2016,05:49:00 PM,02-11-2016 18:10,02-11-2016,06:10:00 PM,Business,00:21:00,0.35,Eastgate,Walnut Terrace,5.7,16.28571429,Meal/Entertain,,,,
02-11-2016 18:24,02-11-2016,06:24:00 PM,02-11-2016 18:46,02-11-2016,06:46:00 PM,Business,00:22:00,0.366666667,Raleigh,Morrisville,13.5,36.81818182,Temporary Site,,,,
02-11-2016 20:36,02-11-2016,08:36:00 PM,02-11-2016 20:51,02-11-2016,08:51:00 PM,Business,00:15:00,0.25,Morrisville,Cary,6.1,24.4,Temporary Site,,,,
02-12-2016 08:21,02-12-2016,08:21:00 AM,02-12-2016 08:42,02-12-2016,08:42:00 AM,Business,00:21:00,0.35,Cary,Durham,8.5,24.28571429,Temporary Site,,,,
02-12-2016 10:45,02-12-2016,10:45:00 AM,02-12-2016 10:52,02-12-2016,10:52:00 AM,Business,00:07:00,0.116666667,Durham,Morrisville,2.6,22.28571429,Temporary Site,,,,
02-12-2016 11:14,02-12-2016,11:14:00 AM,02-12-2016 11:35,02-12-2016,11:35:00 AM,Business,00:21:00,0.35,Morrisville,Raleigh,17,48.57142857,Customer Visit,,,,
02-12-2016 13:02,02-12-2016,01:02:00 PM,02-12-2016 13:36,02-12-2016,01:36:00 PM,Business,00:34:00,0.566666667,Raleigh,Cary,18,31.76470588,Meeting,,,,
02-12-2016 14:49,02-12-2016,02:49:00 PM,02-12-2016 15:06,02-12-2016,03:06:00 PM,Business,00:17:00,0.283333333,Cary,Morrisville,8.4,29.64705882,Meeting,,,,
02-12-2016 15:33,02-12-2016,03:33:00 PM,02-12-2016 16:06,02-12-2016,04:06:00 PM,Business,00:33:00,0.55,Morrisville,Cary,11.5,20.90909091,Customer Visit,,,,
13-02-2016,13-02-2016,02:21:00 PM,13-02-2016,13-02-2016,02:41:00 PM,Business,00:20:00,0.333333333,Cary,Morrisville,8.9,26.7,Meeting,,,,
13-02-2016,13-02-2016,11:45:00 PM,14-02-2016,14-02-2016,12:01:00 AM,Personal,00:16:00,0.266666667,East Elmhurst,Jackson Heights,2.7,10.125,,,,,
14-02-2016,14-02-2016,12:50:00 AM,14-02-2016,14-02-2016,01:00:00 AM,Personal,00:10:00,0.166666667,Jackson Heights,East Elmhurst,1.8,10.8,,,,,
14-02-2016,14-02-2016,02:07:00 PM,14-02-2016,14-02-2016,02:40:00 PM,Business,00:33:00,0.55,East Elmhurst,New York,8.1,14.72727273,Meeting,,,,
14-02-2016,14-02-2016,02:46:00 PM,14-02-2016,14-02-2016,03:03:00 PM,Business,00:17:00,0.283333333,Midtown,Midtown West,2,7.058823529,Meeting,,,,
14-02-2016,14-02-2016,04:35:00 PM,14-02-2016,14-02-2016,05:02:00 PM,Business,00:27:00,0.45,New York,Long Island City,13,28.88888889,Meeting,,,,
14-02-2016,14-02-2016,05:06:00 PM,14-02-2016,14-02-2016,05:29:00 PM,Business,00:23:00,0.383333333,Long Island City,Jamaica,13.9,36.26086957,Meeting,,,,
16-02-2016,16-02-2016,03:21:00 AM,16-02-2016,16-02-2016,04:13:00 AM,Business,00:52:00,0.866666667,Katunayaka,Unknown Location,43.7,50.42307692,Customer Visit,,,,
16-02-2016,16-02-2016,08:29:00 AM,16-02-2016,16-02-2016,09:34:00 AM,Business,01:05:00,1.083333333,Unknown Location,Colombo,14.1,13.01538462,,,,,
16-02-2016,16-02-2016,10:31:00 AM,16-02-2016,16-02-2016,10:41:00 AM,Business,00:10:00,0.166666667,Colombo,Colombo,2.6,15.6,,,,,
16-02-2016,16-02-2016,11:32:00 AM,16-02-2016,16-02-2016,12:02:00 PM,Business,00:30:00,0.5,Colombo,Colombo,4.5,9,,,,,
16-02-2016,16-02-2016,12:39:00 PM,16-02-2016,16-02-2016,12:42:00 PM,Business,00:03:00,0.05,Colombo,Colombo,1.7,34,,,,,
16-02-2016,16-02-2016,01:43:00 PM,16-02-2016,16-02-2016,01:55:00 PM,Business,00:12:00,0.2,Colombo,Colombo,1.8,9,Temporary Site,,,,
16-02-2016,16-02-2016,04:34:00 PM,16-02-2016,16-02-2016,05:10:00 PM,Business,00:36:00,0.6,Colombo,Colombo,6,10,,,,,
16-02-2016,16-02-2016,05:17:00 PM,16-02-2016,16-02-2016,05:26:00 PM,Business,00:09:00,0.15,Colombo,Nugegoda,1.1,7.333333333,Meal/Entertain,,,,
16-02-2016,16-02-2016,05:40:00 PM,16-02-2016,16-02-2016,05:44:00 PM,Business,00:04:00,0.066666667,Nugegoda,Unknown Location,3.6,54,Errand/Supplies,,,,
17-02-2016,17-02-2016,01:18:00 PM,17-02-2016,17-02-2016,02:04:00 PM,Business,00:46:00,0.766666667,Unknown Location,Colombo,14.7,19.17391304,Temporary Site,,,,
17-02-2016,17-02-2016,03:17:00 PM,17-02-2016,17-02-2016,03:22:00 PM,Business,00:05:00,0.083333333,Colombo,Colombo,1.7,20.4,Meal/Entertain,,,,
17-02-2016,17-02-2016,03:33:00 PM,17-02-2016,17-02-2016,04:17:00 PM,Business,00:44:00,0.733333333,Colombo,Katunayaka,21.4,29.18181818,Temporary Site,,,,
17-02-2016,17-02-2016,04:38:00 PM,17-02-2016,17-02-2016,04:43:00 PM,Business,00:05:00,0.083333333,Katunayaka,Katunayaka,0.5,6,Errand/Supplies,,,,
18-02-2016,18-02-2016,02:03:00 PM,18-02-2016,18-02-2016,02:45:00 PM,Business,00:42:00,0.7,Unknown Location,Islamabad,12.7,18.14285714,Temporary Site,,,,
18-02-2016,18-02-2016,03:16:00 PM,18-02-2016,18-02-2016,03:31:00 PM,Business,00:15:00,0.25,Islamabad,Unknown Location,6,24,Temporary Site,,,,
18-02-2016,18-02-2016,06:44:00 PM,18-02-2016,18-02-2016,06:58:00 PM,Business,00:14:00,0.233333333,Unknown Location,Islamabad,5.2,22.28571429,Customer Visit,,,,
18-02-2016,18-02-2016,07:27:00 PM,18-02-2016,18-02-2016,08:08:00 PM,Business,00:41:00,0.683333333,Islamabad,Unknown Location,10,14.63414634,Meeting,,,,
19-02-2016,19-02-2016,09:02:00 AM,19-02-2016,19-02-2016,09:14:00 AM,Business,00:12:00,0.2,Unknown Location,Unknown Location,18.3,91.5,Meeting,,,,
19-02-2016,19-02-2016,09:21:00 AM,19-02-2016,19-02-2016,09:51:00 AM,Business,00:30:00,0.5,Unknown Location,Unknown Location,11.2,22.4,Meeting,,,,
19-02-2016,19-02-2016,10:21:00 AM,19-02-2016,19-02-2016,10:48:00 AM,Business,00:27:00,0.45,Unknown Location,Islamabad,7.6,16.88888889,Meeting,,,,
19-02-2016,19-02-2016,11:20:00 AM,19-02-2016,19-02-2016,11:26:00 AM,Personal,00:06:00,0.1,Islamabad,Islamabad,1.5,15,,,,,
19-02-2016,19-02-2016,11:45:00 AM,19-02-2016,19-02-2016,11:50:00 AM,Personal,00:05:00,0.083333333,Islamabad,Islamabad,1,12,,,,,
19-02-2016,19-02-2016,12:09:00 PM,19-02-2016,19-02-2016,12:27:00 PM,Business,00:18:00,0.3,Islamabad,Unknown Location,7.3,24.33333333,Temporary Site,,,,
19-02-2016,19-02-2016,04:26:00 PM,19-02-2016,19-02-2016,04:45:00 PM,Business,00:19:00,0.316666667,Unknown Location,Islamabad,3.5,11.05263158,,,,,
19-02-2016,19-02-2016,05:09:00 PM,19-02-2016,19-02-2016,05:20:00 PM,Business,00:11:00,0.183333333,Islamabad,Islamabad,4.2,22.90909091,,,,,
19-02-2016,19-02-2016,08:08:00 PM,19-02-2016,19-02-2016,08:30:00 PM,Personal,00:22:00,0.366666667,Islamabad,Unknown Location,13.6,37.09090909,,,,,
19-02-2016,19-02-2016,08:34:00 PM,19-02-2016,19-02-2016,08:51:00 PM,Personal,00:17:00,0.283333333,Unknown Location,Unknown Location,2.5,8.823529412,,,,,
20-02-2016,20-02-2016,07:59:00 AM,20-02-2016,20-02-2016,08:32:00 AM,Personal,00:33:00,0.55,Unknown Location,Islamabad,14.4,26.18181818,,,,,
20-02-2016,20-02-2016,10:48:00 AM,20-02-2016,20-02-2016,10:56:00 AM,Personal,00:08:00,0.133333333,Islamabad,Islamabad,3,22.5,,,,,
20-02-2016,20-02-2016,11:45:00 AM,20-02-2016,20-02-2016,11:53:00 AM,Personal,00:08:00,0.133333333,Islamabad,Islamabad,1.5,11.25,,,,,
20-02-2016,20-02-2016,12:41:00 PM,20-02-2016,20-02-2016,01:17:00 PM,Business,00:36:00,0.6,Islamabad,R?walpindi,18.4,30.66666667,,,,,
20-02-2016,20-02-2016,02:50:00 PM,20-02-2016,20-02-2016,03:54:00 PM,Business,01:04:00,1.066666667,R?walpindi,R?walpindi,23.1,21.65625,Meeting,,,,
20-02-2016,20-02-2016,04:59:00 PM,20-02-2016,20-02-2016,05:54:00 PM,Personal,00:55:00,0.916666667,R?walpindi,Unknown Location,16.5,18,,,,,
20-02-2016,20-02-2016,06:00:00 PM,20-02-2016,20-02-2016,06:03:00 PM,Business,00:03:00,0.05,Unknown Location,Unknown Location,3.2,64,Errand/Supplies,,,,
20-02-2016,20-02-2016,07:28:00 PM,20-02-2016,20-02-2016,07:49:00 PM,Business,00:21:00,0.35,Unknown Location,Unknown Location,7.7,22,Errand/Supplies,,,,
21-02-2016,21-02-2016,09:07:00 AM,21-02-2016,21-02-2016,09:46:00 AM,Business,00:39:00,0.65,Unknown Location,Islamabad,14.5,22.30769231,,,,,
21-02-2016,21-02-2016,11:39:00 AM,21-02-2016,21-02-2016,11:43:00 AM,Business,00:04:00,0.066666667,Unknown Location,Islamabad,2.4,36,Errand/Supplies,,,,
